Branch,Description,Synonyms|Description,AutoMatches,ContainsMatch,StartsWithMatch,TokenOverlapMatch
Pathology,Study of disease,-,Pathology | Study of disease processes and tissue changes.; Pathology | Study of disease mechanisms and diagnosis.,Psychopathology | Study of mental disorders and maladaptive behavior.; Child psychopathology | Study of mental disorders in children and adolescents.; Paleopathology | Study of ancient diseases through human remains.; Pathology | Study of disease processes and tissue changes.; Anatomical pathology | Study of disease through tissue and organ examination.; Clinical pathology | Study of disease through laboratory diagnostics.; Dermatopathology | Study of skin disease through pathological analysis.; Forensic pathology | Study of pathology in legal investigations.; Hematopathology | Study of diseases of blood and lymphatic systems.; Histopathology | Study of disease at the tissue level.; Molecular pathology | Study of disease mechanisms at the molecular level.; Surgical pathology | Study of tissue removed during surgery for diagnosis.; Phytopathology | Study of plant diseases.; Clinical laboratory sciences/Clinical pathology/Laboratory medicine | Study of laboratory diagnostics and clinical pathology.; Pathology | Study of disease mechanisms and diagnosis.; Speech–language pathology | Study of speech language and swallowing disorders.,Pathology | Study of disease processes and tissue changes.; Pathology | Study of disease mechanisms and diagnosis.,-
Pedagogy,"Science and art of teaching, learning processes and educational theory",-,-,Critical pedagogy | Study of education through critical and emancipatory theory.; Physical education / Pedagogy | Study of teaching physical education and movement.,-,-
Pediatrics,study of children's diseases; pediatrics[citation needed],-,Pediatrics | Study of child and adolescent medicine.,Pediatrics | Study of child and adolescent medicine.,Pediatrics | Study of child and adolescent medicine.,-
Pedology,Study of soils in their natural environment,-,Pedology | Study of soils in relation to agriculture.,Pedology (children study) | Study of child development and behavior.; Pedology | Study of soils in relation to agriculture.; Edaphology / Pedology or Soil science | Study of soils and soil formation processes.,Pedology (children study) | Study of child development and behavior.; Pedology | Study of soils in relation to agriculture.,-
Pelology,study of mud[36],-,-,-,-,-
Petrology,"Branch of geology that studies the formation, composition, distribution and structure of rocks",-,Petrology | Study of rocks and their origin.,Petrology | Study of rocks and their origin.,Petrology | Study of rocks and their origin.,-
Pharmacology,Science of drugs and medications and their effects,-,Pharmacology | Study of drug actions and interactions in organisms.; Pharmacology | Study of drugs and their mechanisms.,Pharmacology | Study of drug actions and interactions in organisms.; Pharmacology | Study of drugs and their mechanisms.,Pharmacology | Study of drug actions and interactions in organisms.; Pharmacology | Study of drugs and their mechanisms.,-
Pharology,Scientific study of lighthouses and signal lights,-,-,-,-,-
Photobiology,Scientific study of light's effect on living organisms,-,-,-,-,-
Photonics,Technical applications of optics – study of photons,-,Photonics | Study of generation and manipulation of photons.; Photonics | Study of photonic engineering and light technologies.; Photonics | Study of photonics and light based technologies.,Photonics | Study of generation and manipulation of photons.; Photonics | Study of photonic engineering and light technologies.; Photonics | Study of photonics and light based technologies.,Photonics | Study of generation and manipulation of photons.; Photonics | Study of photonic engineering and light technologies.; Photonics | Study of photonics and light based technologies.,-
Phycology,Branch of biology concerned with the study of algae,-,Phycology | Study of algae and algal biology.,Phycology | Study of algae and algal biology.,Phycology | Study of algae and algal biology.,-
Physiology,Science regarding functions in organisms or living systems,-,Physiology | Study of functions of living organisms.,Aerospace physiology | Study of human physiology in aerospace environments.; Physiology | Study of functions of living organisms.; Human physiology | Study of human body functions.; Exercise physiology | Study of physiological responses to exercise.; Kinesiology / Exercise physiology / Performance science | Study of human movement and performance science.; Clinical physiology | Study of physiological function in clinical contexts.; Cardiac electrophysiology | Study of electrical activity of the heart.,Physiology | Study of functions of living organisms.,-
Physiotherapy,Health profession using physical methods to restore movement and function,-,Physiotherapy | Study of therapy to restore movement and function.,Physiotherapy | Study of therapy to restore movement and function.,Physiotherapy | Study of therapy to restore movement and function.,-
Piscatology,study of fishes[citation needed],-,-,-,-,-
Pisteology,science or study of faith [citation needed][relevant?],-,-,-,-,-
Planetary science,Science of planets and planetary systems,-,-,"Planetary science (alternatively, a part of earth science) | Study of planets moons and planetary systems.; Planetary science (alternatively, a part of space science) | Study of planets moons and planetary systems.","Planetary science (alternatively, a part of earth science) | Study of planets moons and planetary systems.; Planetary science (alternatively, a part of space science) | Study of planets moons and planetary systems.","Planetary science (alternatively, a part of earth science) | Study of planets moons and planetary systems.; Planetary science (alternatively, a part of space science) | Study of planets moons and planetary systems."
Planetology,Science of planets and planetary systems,-,-,Exoplanetology | Study of planets beyond the Solar System.,-,-
Pneumatics,Use of pressurised gas in mechanical systems – study of mechanics of gases [citation needed][relevant?],-,-,-,-,-
Pneumonology,Study of respiratory diseases,-,-,-,-,-
Political science,Scientific study of politics,-,Political science | Study of political systems institutions and behavior.,Political science | Study of political systems institutions and behavior.,Political science | Study of political systems institutions and behavior.,Political science | Study of political systems institutions and behavior.
Pragmatics,Branch of linguistics and semiotics relating context to meaning,-,Pragmatics | Study of language meaning in context and use.,Pragmatics | Study of language meaning in context and use.,Pragmatics | Study of language meaning in context and use.,-
Printmaking,Artistic process of creating images by transferring ink from a matrix onto another surface,-,Printmaking | Study of techniques for producing printed artworks.,Printmaking | Study of techniques for producing printed artworks.,Printmaking | Study of techniques for producing printed artworks.,-
Protistology,Scientific discipline devoted to the study of protists – study of protists,-,Protistology | Study of protists and protist biology.,Protistology | Study of protists and protist biology.,Protistology | Study of protists and protist biology.,-
Proxemics,Study of human use of space and the effects that population density has on behavior,-,-,-,-,-
Pseudoptics,study of optical illusions[38],-,-,-,-,-
Psychogenetics,Study of genetic-environment interactions influencing behaviour – study of internal or mental states,-,-,-,-,-
Pteridology,Class of vascular plants – study of ferns,-,-,-,-,-
Public health,"Science and art of preventing disease, prolonging life and promoting health through organised societal efforts",-,Public health | Study of population health and disease prevention.,Public health | Study of population health and disease prevention.,Public health | Study of population health and disease prevention.,Public health | Study of population health and disease prevention.
Pyrography,Art or decoration made from burn marks – study of woodburning,-,-,-,-,-
Pyrotechnics,Science of creating combustibles and explosives for entertainment – study of combustion through fire or explosions,-,-,-,-,-
Quantum computing,"Computer hardware technology that uses quantum mechanics – the exploitation of collective properties of quantum states, such as superposition and entanglement, to perform computation.[citation needed]",-,Quantum computing | Study of computation using quantum mechanics.; Quantum computing | Study of computation using quantum effects.,Quantum computing | Study of computation using quantum mechanics.; Quantum computing | Study of computation using quantum effects.,Quantum computing | Study of computation using quantum mechanics.; Quantum computing | Study of computation using quantum effects.,Quantum computing | Study of computation using quantum mechanics.; Quantum computing | Study of computation using quantum effects.
Radiobiology,"Study of effects of radiation on living tissues – study of the scientific principles, mechanisms, and effects of the interaction of ionizing radiation with living matter",-,-,-,-,-
Scatology,Study of faeces – study of excrement or obscene literature [citation needed],-,-,-,-,-
Sciagraphy,Study of perspective shadow projection – art of shading,-,-,-,-,-
Science communication,Study and practice of conveying scientific knowledge to non-expert audiences,-,-,-,-,-
Science Studies,Scientific study of science,-,-,Science studies/Science and technology studies | Study of science and technology as social practices.,Science studies/Science and technology studies | Study of science and technology as social practices.,Science studies/Science and technology studies | Study of science and technology as social practices.
Sedimentology,Study of natural sediments and their formation processes,-,-,-,-,-
Seismology,Scientific study of earthquakes and propagation of elastic waves through a planet,-,Seismology | Study of earthquakes and seismic waves.,Helioseismology | Study of solar oscillations and internal structure.; Seismology | Study of earthquakes and seismic waves.,Seismology | Study of earthquakes and seismic waves.,-
Semasiology,Branch of linguistics about what words mean,-,-,-,-,-
Sexology,Scientific study of human sexuality,-,Sexology | Study of human sexuality and sexual behavior.,Sexology | Study of human sexuality and sexual behavior.,Sexology | Study of human sexuality and sexual behavior.,-
Social science,Collective term for disciplines that study society and human relationships,-,Social science | Study of society and social relationships.,"Philosophy of social science | Study of philosophical foundations of social science.; Social science | Study of society and social relationships.; Computing in social sciences, arts, humanities, and professions | Study of computing applied to social sciences and humanities.",Social science | Study of society and social relationships.,Philosophy of social science | Study of philosophical foundations of social science.; Social science | Study of society and social relationships.
Sociobiology,Subdiscipline of biology regarding social behavior – study of biological basis of human behaviour [citation needed],-,Sociobiology | Study of social behavior from a biological perspective.; Sociobiology | Study of social behavior in biological context.,Sociobiology | Study of social behavior from a biological perspective.; Sociobiology | Study of social behavior in biological context.,Sociobiology | Study of social behavior from a biological perspective.; Sociobiology | Study of social behavior in biological context.,-
Sociolinguistics,Study of how society affects language,-,Sociolinguistics | Study of language variation and social context.; Sociolinguistics | Study of language variation in social contexts.,Sociolinguistics | Study of language variation and social context.; Sociolinguistics | Study of language variation in social contexts.,Sociolinguistics | Study of language variation and social context.; Sociolinguistics | Study of language variation in social contexts.,-
Solid mechanics,Branch of mechanics concerned with solid materials and their behaviors,-,Solid mechanics | Study of deformation and stresses in solids.,Solid mechanics | Study of deformation and stresses in solids.,Solid mechanics | Study of deformation and stresses in solids.,Solid mechanics | Study of deformation and stresses in solids.
Speleology,Science of cave and karst systems,-,-,-,-,-
Spermology,Embryonic plant enclosed in a protective outer covering – study of seeds[citation needed],-,-,-,-,-
Stellar astronomy,Study of stars and stellar evolution,-,Stellar astronomy | Study of stars and their properties.,Stellar astronomy | Study of stars and their properties.,Stellar astronomy | Study of stars and their properties.,Stellar astronomy | Study of stars and their properties.
Stemmatics,Identification of textual variants – study of relationships between text[citation needed],-,-,-,-,-
Stemmatology,Identification of textual variants – study of relationships between text[citation needed],-,-,-,-,-
Stratigraphy,Study of rock layers and their formation,-,-,-,-,-
Stylometry,Study of writing style – studying literature by means of statistical analysis [citation needed],-,-,-,-,-
Supramolecular chemistry,Branch of chemistry – study of the chemistry of assembled molecular sub-units[citation needed],-,Supramolecular chemistry | Study of chemical systems formed by noncovalent interactions.,Supramolecular chemistry | Study of chemical systems formed by noncovalent interactions.,Supramolecular chemistry | Study of chemical systems formed by noncovalent interactions.,Supramolecular chemistry | Study of chemical systems formed by noncovalent interactions.
Surgery,Medical specialty using operative techniques to treat disease or injury,-,Surgery | Study of surgical treatment of disease and injury.,Dental surgery | Study of surgical procedures in dentistry.; Oral and maxillofacial surgery | Study of surgery of the mouth jaw and face.; Surgery | Study of surgical treatment of disease and injury.; Bariatric surgery | Study of surgical treatment for obesity.; Cardiothoracic surgery | Study of surgery of heart and chest organs.; Neurosurgery | Study of surgical treatment of nervous system disorders.; Orthopedic surgery | Study of surgery of bones joints and muscles.; Plastic surgery | Study of reconstructive and cosmetic surgery.; Trauma surgery | Study of surgical care for traumatic injuries.,Surgery | Study of surgical treatment of disease and injury.,-
SynBio,"Engineering-oriented branch of biology that designs and builds new biological parts, devices and systems",-,-,-,-,-
Synthetic biology,"Engineering-oriented branch of biology that designs and builds new biological parts, devices and systems",-,Synthetic biology | Study of designing and building biological systems.,Synthetic biology | Study of designing and building biological systems.,Synthetic biology | Study of designing and building biological systems.,Synthetic biology | Study of designing and building biological systems.
Systems engineering,"Interdisciplinary approach for designing, integrating and managing complex systems over their life cycles",-,Systems engineering | Study of engineering complex system life cycles.,Control systems engineering | Study of control systems design and automation.; Systems engineering | Study of engineering complex system life cycles.; Biological systems engineering | Study of engineering biological systems and processes.; Earth systems engineering and management | Study of engineering and managing Earth systems.; Enterprise systems engineering | Study of engineering enterprise systems and processes.; Biological systems engineering | Study of engineering of biological systems in agriculture.,Systems engineering | Study of engineering complex system life cycles.,Control systems engineering | Study of control systems design and automation.; Systems engineering | Study of engineering complex system life cycles.; Biological systems engineering | Study of engineering biological systems and processes.; Earth systems engineering and management | Study of engineering and managing Earth systems.; Enterprise systems engineering | Study of engineering enterprise systems and processes.; Biological systems engineering | Study of engineering of biological systems in agriculture.
Systems science,Study of the nature of systems – study of systems,-,Systems science | Study of systems approaches applied to business and organizations.,Systems science | Study of systems approaches applied to business and organizations.,Systems science | Study of systems approaches applied to business and organizations.,Systems science | Study of systems approaches applied to business and organizations.
Tectonics,Process of evolution of the Earth's crust,-,-,-,-,-
Teratology,Study of developmental anomalies,-,Teratology | Study of developmental abnormalities and malformations.,Teratology | Study of developmental abnormalities and malformations.,Teratology | Study of developmental abnormalities and malformations.,-
Textology,Identification of textual variants – study of the production of texts [citation needed],-,-,-,-,-
Thanatology,Scientific study of death and its aspects,-,-,-,-,-
Thaumatology,The study of miracles – study of miracles[citation needed][relevant?],-,-,-,-,-
Therapy,"Applied health field investigating therapeutic methods for prevention, rehabilitation and cure",-,Therapy | Study of therapeutic approaches to treatment and recovery.,Systemic therapy | Study of therapeutic approaches based on systems theory.; Music therapy | Study of therapeutic use of music in health contexts.; Occupational therapy | Study of therapy to improve daily living skills.; Physical therapy | Study of rehabilitation through physical therapy methods.; Physiotherapy | Study of therapy to restore movement and function.; Psychotherapy | Study of therapeutic methods for mental health.; Therapy | Study of therapeutic approaches to treatment and recovery.; Recreational therapy | Study of therapeutic use of recreation and activities.; Respiratory therapy | Study of care for breathing and lung function.,Therapy | Study of therapeutic approaches to treatment and recovery.,-
Therapy Science,"Applied health field investigating therapeutic methods for prevention, rehabilitation and cure",-,-,-,-,-
Therapy studies,"Applied health field investigating therapeutic methods for prevention, rehabilitation and cure",-,-,-,-,-
Thermokinematics,study of motion of heat [citation needed],-,-,-,-,-
Thermology,thermography used for medical diagnosis – study of heat [citation needed],-,-,-,-,-
Therology,Study of mammals,-,-,-,-,-
Tocology,Medical specialty encompassing two subspecialties – obstetrics; midwifery[citation needed],-,-,-,-,-
Tokology,Medical specialty encompassing two subspecialties – study of childbirth[citation needed],-,-,-,-,-
Topography,Study of the forms of land surfaces,-,Topography | Study of mapping landforms and terrain.,Topography | Study of mapping landforms and terrain.,Topography | Study of mapping landforms and terrain.,-
Toxicology,Study of substances harmful to living organisms,-,Toxicology | Study of toxic substances and their effects.; Toxicology | Study of toxic substances in environmental contexts.,Toxicology | Study of toxic substances and their effects.; Medical toxicology | Study of harmful effects of substances on health.; Occupational toxicology | Study of toxic exposures in occupational settings.; Pharmaceutical toxicology | Study of toxic effects of pharmaceuticals.; Toxicology | Study of toxic substances in environmental contexts.,Toxicology | Study of toxic substances and their effects.; Toxicology | Study of toxic substances in environmental contexts.,-
Trophology,Science of nutrition,-,-,-,-,-
Uranology,Science of the heavens (historical),-,-,-,-,-
Urban planning,"Discipline that organises and regulates land use, infrastructure and development in urban areas",-,-,Urban planning (urban design) | Urban planning studies planning and design of cities and urban systems.,Urban planning (urban design) | Urban planning studies planning and design of cities and urban systems.,Urban planning (urban design) | Urban planning studies planning and design of cities and urban systems.
Urogynaecology,Sub-specialty of urology and gynaecology,-,-,-,-,-
Urogynecology,Sub-specialty of urology and gynaecology,-,-,-,-,-
Veterinary medicine,Branch of medicine for non-human animals,-,Veterinary medicine | Study of medical care for animals.,Veterinary medicine | Study of medical care for animals.,Veterinary medicine | Study of medical care for animals.,Veterinary medicine | Study of medical care for animals.
Veterinary Science,Branch of medicine for non-human animals,-,-,-,-,-
Virology,Study of viruses,-,Virology | Study of viruses and viral diseases.,Virology | Study of viruses and viral diseases.; Molecular virology | Study of viruses at the molecular level.,Virology | Study of viruses and viral diseases.,-
Vitrics,"study, art and technology of glassy materials; glassware [citation needed][relevant?]",-,-,-,-,-
Volcanology,Study of volcanoes,-,-,-,-,-
Xylology,Science of wood,-,-,-,-,-
Zoochemistry,study of chemistry of animals,-,-,-,-,-
Zoogeography,Science of the geographic distribution of animal species,-,-,-,-,-
Zoophysics,Study of physics relating to structure and function of animal organs and bodies.[49],-,-,-,-,-
Zoophytology,study of plant-like animals [citation needed],-,-,-,-,-
Zootaxy,Scientific classification of animals.,-,-,-,-,-
Zymology,Study of fermentation and its uses,-,-,-,-,-
Zymurgy,Applied chemistry of fermentation processes,-,-,-,-,-
Zythology,Study of beer and beer-brewing.,-,-,-,-,-
Acarology,Study of mites and ticks,-,-,-,-,-
Aceology,"Systematic study of therapeutic remedies (also called iamatology), covering principles, efficacy and modes of treatment",-,-,-,-,-
Acology,"Systematic study of therapeutic remedies (also called iamatology), covering principles, efficacy and modes of treatment",-,-,Anthracology | Study of charcoal remains for archaeological analysis.; Pharmacology | Study of drug actions and interactions in organisms.; Malacology | Study of mollusks and their biology.; Limacology | Study of slugs and their biology.; Pharmacology | Study of drugs and their mechanisms.,-,-
Aerodonetics,Science or study of gliding flight.[6],-,-,-,-,-
Aeronautics,"Science involved with the study, design, and manufacturing of airflight-capable machines",-,Aeronautics | Study of flight within Earth's atmosphere.,Aeronautics | Study of flight within Earth's atmosphere.,Aeronautics | Study of flight within Earth's atmosphere.,-
Agricultural chemistry,Agricultural sub-discipline of applied chemistry – study of influence in chemical processes in plants.,-,-,-,-,-
Agroecology,Study of ecological processes in agriculture,-,Agroecology | Study of ecological processes in agricultural systems.; Agroecology | Study of ecological processes in agriculture.,Agroecology | Study of ecological processes in agricultural systems.; Agroecology | Study of ecological processes in agriculture.,Agroecology | Study of ecological processes in agricultural systems.; Agroecology | Study of ecological processes in agriculture.,-
Agronomics,"Branch of economics about distribution, management, and productivity of land.",-,-,-,-,-
Algedonics,"Psychophysiological study of pleasure and pain, including the neural circuits and subjective experiences that underlie both",-,-,-,-,-
Algology (medicine),"In some European medical contexts, “algology” is also used for the subspecialty of pain medicine; to avoid confusion separate this sense or rename “Pain Medicine”",-,-,-,-,-
Allergology,Study of the causes and treatment of allergies - study of causes and treatment of allergies,-,-,-,-,-
Anaesthesiology,Medical specialty concerned with anesthesia and perioperative care,-,-,-,-,-
Andragogy,Methods and principles in adult education,-,-,-,-,-
Anemology,Study of winds – study of wind.,-,-,-,-,-
Anthropology,"Scientific study of humans, human behavior, and societies – study of human cultures.",-,Anthropology | Study of humans cultures and societies.,Anthropology of Religion | Study of religion through anthropological approaches.; Anthropology | Study of humans cultures and societies.; Biocultural anthropology | Study of interactions between biology culture and health.; Biological anthropology | Study of human biology and evolution.; Paleoanthropology | Study of human evolution through fossil evidence.; Evolutionary anthropology | Study of human evolution using evolutionary theory.; Forensic anthropology | Study of human remains for legal investigation.; Medical anthropology | Study of health and medicine in cultural contexts.; Molecular anthropology | Study of human evolution using molecular data.; Neuroanthropology | Study of brain and culture interactions.; Nutritional anthropology | Study of nutrition in cultural and biological contexts.; Linguistic anthropology | Study of language in social and cultural contexts.; Sociocultural anthropology | Study of social and cultural aspects of human life.; Semiotic anthropology | Study of signs and meaning in cultural contexts.; Cultural anthropology | Study of cultural practices and meanings in societies.; Anthropology of development | Study of development processes through anthropology.; Anthropology of religion | Study of religion in cultural contexts.; Applied anthropology | Study of applying anthropology to practical problems.; Cognitive anthropology | Study of cultural influences on cognition.; Cyborg anthropology | Study of human technology integration and culture.; Digital anthropology | Study of digital cultures and online communities.; Ecological anthropology | Study of human ecology and environmental adaptation.; Economic anthropology | Study of economic behavior in cultural contexts.; Environmental anthropology | Study of culture in relation to environmental issues.; Feminist anthropology | Study of anthropology through feminist perspectives.; Legal anthropology | Study of law and legal systems in cultural contexts.; Political anthropology | Study of power politics and authority in societies.; Political economic anthropology | Study of political economy in cultural contexts.; Psychological anthropology | Study of psychological processes within cultural contexts.; Public anthropology | Study of applying anthropology to public issues.; Symbolic anthropology | Study of symbols meanings and cultural interpretation.; Transpersonal anthropology | Study of transcendent experiences in cultural contexts.; Urban anthropology | Study of urban life and culture.; Social anthropology | Study of social structures and cultural practices.; Anthropology of art | Study of art and aesthetics in cultural contexts.; Anthropology of institutions | Study of social institutions and their cultural roles.; Anthropology of media | Study of media practices and cultural production.; Visual anthropology | Study of visual culture and representation in societies.; Systems theory in anthropology | Study of systems theory applied to anthropology.,Anthropology of Religion | Study of religion through anthropological approaches.; Anthropology | Study of humans cultures and societies.; Anthropology of development | Study of development processes through anthropology.; Anthropology of religion | Study of religion in cultural contexts.; Anthropology of art | Study of art and aesthetics in cultural contexts.; Anthropology of institutions | Study of social institutions and their cultural roles.; Anthropology of media | Study of media practices and cultural production.,-
Aquatic ecology,The study of interactions between organisms and the environment in water,-,-,-,-,-
Archology,study of the nature of government – science of the origins of government.,-,-,-,-,-
Areology,"Scientific study of the surface, crust, and interior of the planet Mars",-,-,-,-,-
Aromachology,Study of the influence of odors on human behavior,-,-,-,-,-
Astheniology,Physical symptom – study of diseases of weakening and aging.,-,-,-,-,-
Astrobotany,Study of plants grown in spacecraft,-,Astrobotany | Study of plant biology in extraterrestrial contexts.,Astrobotany | Study of plant biology in extraterrestrial contexts.,Astrobotany | Study of plant biology in extraterrestrial contexts.,-
Astronautics,Theory and practice of navigation beyond the Earth's atmosphere,-,Astronautics | Study of spaceflight and spacecraft systems.,Astronautics | Study of spaceflight and spacecraft systems.,Astronautics | Study of spaceflight and spacecraft systems.,-
Autecology,Study of interactions of individual organisms with the environment,-,-,-,-,-
Ballistics,Science of the motion of projectiles,-,Ballistics | Study of projectile motion and dynamics.,Ballistics | Study of projectile motion and dynamics.,Ballistics | Study of projectile motion and dynamics.,-
Balneology,Method of treating diseases by bathing – science of the therapeutic use of baths.,-,-,-,-,-
Barodynamics,science of the support and mechanics of heavy structures[12],-,-,-,-,-
Bathymetry,Study of underwater depth of lake or ocean floors,-,-,-,-,-
Batrachology,Branch of herpetology that studies amphibians,-,Batrachology | Study of amphibians and their biology.,Batrachology | Study of amphibians and their biology.,Batrachology | Study of amphibians and their biology.,-
Behavioral neuroscience,Study of biological and neural mechanisma in behaviour,-,Behavioral neuroscience | Study of neural bases of behavior.,Behavioral neuroscience | Study of neural bases of behavior.,Behavioral neuroscience | Study of neural bases of behavior.,Behavioral neuroscience | Study of neural bases of behavior.
Bioecology,Study of interrelations of plants and animals with their environment,-,-,-,-,-
Biomechanics,Study of the mechanics of biological systems,-,Biomechanics | Study of mechanics of living organisms.,Biomechanics | Study of mechanics of living organisms.; Biomechanics / Sports biomechanics | Study of mechanics of movement and sports performance.,Biomechanics | Study of mechanics of living organisms.; Biomechanics / Sports biomechanics | Study of mechanics of movement and sports performance.,-
Bionomics (economics),"Less commonly, the application of biological analogies to economic systems—state which sense is intended",-,-,-,-,-
Biopsychology,Study of biological and neural mechanisma in behaviour – application of the science of biology to the study of psychology.,-,-,-,-,-
Biotribology,"Study of friction, wear and lubrication in biological systems – study of friction, wear and lubrication of biological systems.",-,-,-,-,-
Bryology,Branch of botany concerned with the study of bryophytes – study of mosses and liverworts.,-,-,Embryology | Study of embryos and early development.,-,-
Business,"Applied social-science field analysing how organisations create value, manage resources and interact with markets",-,Business | Study of business organization and economic enterprise.,Business law | Study of laws affecting business operations and commerce.; Business English | Study of English usage in business and professional contexts.; Business | Study of business organization and economic enterprise.; Business administration | Study of managing business operations and resources.; Business analysis | Study of analyzing business needs and performance.; Business ethics | Study of ethical issues in business practice.; Business law | Study of legal issues affecting business.; Business management | Study of managing organizations and business strategy.; E-Business | Study of conducting business using digital platforms.; Information systems (Business informatics) | Study of information systems in business contexts.; Business economics | Study of economic analysis applied to business.; Business studies | Study of business organization and management.,Business law | Study of laws affecting business operations and commerce.; Business English | Study of English usage in business and professional contexts.; Business | Study of business organization and economic enterprise.; Business administration | Study of managing business operations and resources.; Business analysis | Study of analyzing business needs and performance.; Business ethics | Study of ethical issues in business practice.; Business law | Study of legal issues affecting business.; Business management | Study of managing organizations and business strategy.; Business economics | Study of economic analysis applied to business.; Business studies | Study of business organization and management.,-
Business studies,"Applied social-science field analysing how organisations create value, manage resources and interact with markets",-,Business studies | Study of business organization and management.,Business studies | Study of business organization and management.,Business studies | Study of business organization and management.,Business studies | Study of business organization and management.
Caliology,Place where a bird broods its eggs – study of bird's nests.,-,-,-,-,-
Cambistry,science of international exchange.[15],-,-,-,-,-
Campanology,Scientific and musical study of bells,-,-,-,-,-
Cardiology,Branch of medicine dealing with the heart,-,Cardiology | Study of heart and cardiovascular diseases.,Cardiology | Study of heart and cardiovascular diseases.,Cardiology | Study of heart and cardiovascular diseases.,-
Catallactics,Theory about the free market system in economies – science of commercial exchange.,-,-,-,-,-
Catechectics,art of teaching by question and answer.[citation needed][relevant?],-,-,-,-,-
Cetology,"The study of whales, dolphins, porpoises, and other cetaceans – study of whales and dolphins.",-,Cetology | Study of whales dolphins and porpoises.,Cetology | Study of whales dolphins and porpoises.,Cetology | Study of whales dolphins and porpoises.,-
Chiropody,Medicine branch focusing on the human lower extremities,-,-,-,-,-
Chorology (biogeography),Study of the spatial distribution patterns of organisms and the environmental factors shaping those patterns – an early synonym of biogeography,-,-,-,-,-
Chrematistics,Economics theory studying money – study of wealth; political economy.,-,-,-,-,-
Chronobiology,Study of rhythms in biological processes of living organisms – study of biological rhythms.,-,Chronobiology | Study of biological rhythms and timing.,Chronobiology | Study of biological rhythms and timing.,Chronobiology | Study of biological rhythms and timing.,-
Civics,study of the civil and political rights and obligations of citizens in a society.[1],-,Civics | Study of civic rights duties and participation in governance.,Civics | Study of civic rights duties and participation in governance.,Civics | Study of civic rights duties and participation in governance.,-
Clinology,study of aging or individual decline after maturity.[citation needed],-,-,-,-,-
Cognitive science,Interdisciplinary scientific study of cognitive processes,-,Cognitive science | Study of mind and cognition using computational models.,Cognitive science | Study of mind and cognition using computational models.,Cognitive science | Study of mind and cognition using computational models.,Cognitive science | Study of mind and cognition using computational models.
Coleopterology,Branch of entomology studying beetles,-,-,-,-,-
Cometology,study of comets.[16],-,-,-,-,-
Conchology,Study of mollusc shells,-,Conchology | Study of mollusk shells.,Conchology | Study of mollusk shells.,Conchology | Study of mollusk shells.,-
Connectomics,Study of mapping wiring diagrams,-,-,-,-,-
Contact mechanics,Study of the deformation of solids that touch each other,-,-,-,-,-
Ctetology,study of the inheritance of acquired characteristics.[citation needed],-,-,-,-,-
Curriculum studies,concentration in the different types of curriculum and instruction concerned with understanding curricula as an active force influenced by human educational experiences.[1],-,-,-,-,-
Cybernetics,Transdisciplinary field concerned with regulatory and purposive systems,-,Cybernetics | Study of control and communication in systems.,Sociocybernetics | Study of social systems using cybernetics concepts.; Cybernetics | Study of control and communication in systems.; Biocybernetics | Study of cybernetic models of biological systems.; Engineering cybernetics | Study of cybernetics applied to engineering systems.; Management cybernetics | Study of cybernetic approaches to management systems.; Medical cybernetics | Study of cybernetic systems in medicine.; New Cybernetics | Study of second generation cybernetics concepts.; Second-order cybernetics | Study of cybernetics of observing systems.; Sociocybernetics | Study of cybernetic models of social systems.; Pharmacocybernetics | Study of cybernetic systems applied to drug therapy.,Cybernetics | Study of control and communication in systems.,-
Cyclonology,"study of tropical cyclones, e.g. hurricanes.[citation needed]",-,-,-,-,-
Dactyliology,study of finger rings.[17][relevant?],-,-,-,-,-
Dactylography,Scientific study of fingerprints,-,-,-,-,-
Dactylology,Form of communication using one or both hands – study of sign language.[citation needed],-,-,-,-,-
Demography,"Science that deals with populations and their structures, statistically and theoretically",-,Demography | Study of population statistics and dynamics.,Demography/Population | Study of population size structure and dynamics.; Demography | Study of population statistics and dynamics.,Demography/Population | Study of population size structure and dynamics.; Demography | Study of population statistics and dynamics.,-
Dendrochronology,Method of dating based on the analysis of patterns of tree rings,-,Dendrochronology | Study of tree ring dating for archaeological timelines.,Dendrochronology | Study of tree ring dating for archaeological timelines.,Dendrochronology | Study of tree ring dating for archaeological timelines.,-
Dendrology,Science and study of woody plants,-,-,-,-,-
Dermatoglyphics,Scientific study of finger- and toeprints,-,-,-,-,-
Dermatology,"Field of medicine dealing with the hair, nails, skin, and its diseases",-,Dermatology | Study of skin diseases and dermatological care.,Dermatology | Study of skin diseases and dermatological care.,Dermatology | Study of skin diseases and dermatological care.,-
Desmology,Study of ligaments,-,-,-,-,-
Didactic method,"theory of teaching, and in a wider sense, a theory and practical application of teaching and learning. In demarcation from ""mathetics"" (the science of learning), didactics refers only to the science of teaching.",-,-,-,-,-
Dietetics,Study of diet and nutrition in relation to health and disease,-,-,Nutrition and dietetics | Study of diet nutrition and therapeutic diets.,-,-
Diplomatics,Academic study of the protocols of documents – science of deciphering ancient writings and texts.[citation needed],-,-,-,-,-
Dosiology,study of dosage of drugs.[19],-,-,-,-,-
Eccrinology,Sweat gland distributed almost all over the human body – study of excretion.,-,-,-,-,-
Ekistics,Science of human settlements,-,-,-,-,-
